agreeableness,extraversion,neuroticism,education,age
4.0,3.8,2.8,NA,16
4.2,5.0,3.8,NA,18
3.8,4.2,3.6,NA,17
4.6,3.6,2.8,NA,17
4.0,4.8,3.2,NA,17
4.6,5.6,3.0,3,21
4.6,4.2,1.4,NA,18
2.6,2.4,4.2,2,19
3.6,3.25,3.6,1,19
5.4,4.8,4.2,NA,17
4.6,4.2,3.0,1,21
5.0,4.2,3.5,NA,16
4.4,3.4,1.8,NA,16
4.8,5.0,1.2,NA,16
2.6,4.2,2.6,1,17
4.2,5.6,4.6,NA,17
4.4,5.2,4.2,NA,17
4.2,5.2,4.8,NA,17
3.8,5.0,4.6,NA,16
4.6,5.4,3.4,NA,17
2.2,4.4,2.0,NA,17
4.8,4.4,4.4,NA,17
5.6,4.0,2.0,5,68
5.4,5.2,4.8,2,27
4.8,5.0,2.0,1,18
5.0,6.0,1.8,3,20
4.0,4.0,3.2,5,51
5.6,5.8,3.6,NA,14
3.8,5.2,2.8,3,33
4.8,5.4,3.4,3,18
5.2,3.2,5.4,NA,17
5.6,5.0,2.4,3,41
5.2,1.2,2.6,5,23
5.0,4.2,2.4,NA,17
3.8,3.6,1.75,3,20
3.2,3.0,3.8,3,23
5.2,1.8,2.2,3,20
3.8,3.6,5.0,3,21
6.0,5.0,1.0,NA,30
4.6,4.6,1.4,5,48
5.4,3.8,2.6,3,40
3.8,2.8,1.5,4,27
4.8,3.8,2.2,1,18
4.0,3.0,3.2,4,20
5.8,4.8,2.2,5,24
6.0,4.0,3.6,3,25
3.4,3.4,3.8,2,22
5.0,3.6,3.0,1,18
3.8,3.4,4.6,1,43
6.0,6.0,2.2,3,20
5.6,4.6,4.8,3,24
5.2,3.8,2.8,4,26
4.4,5.4,1.4,4,26
4.0,3.2,5.4,3,25
6.0,5.4,2.4,4,25
4.6,4.2,3.6,5,26
3.2,3.2,4.4,3,21
3.8,3.6,4.0,5,24
5.0,2.8,3.8,2,50
4.2,5.0,1.8,5,29
4.2,3.2,4.2,1,32
4.2,2.8,4.6,1,18
5.6,5.8,3.0,4,32
4.0,5.8,3.0,3,26
5.8,3.6,4.6,5,27
4.75,2.6,1.0,3,19
4.4,2.4,3.6,4,21
2.4,3.4,2.2,3,21
4.6,4.6,2.2,5,36
5.4,2.8,2.4,2,48
4.8,4.4,2.4,3,22
4.4,5.0,1.8,2,23
3.8,4.8,4.4,3,21
5.0,3.2,3.0,3,20
4.6,4.6,2.0,3,23
5.2,5.4,2.4,4,43
5.8,5.8,2.0,NA,16
5.0,5.6,4.2,NA,14
3.2,3.6,2.8,3,54
5.0,3.8,3.2,2,20
5.0,3.6,3.2,4,28
3.8,2.8,5.0,4,38
4.8,3.4,4.4,NA,38
5.8,4.8,2.4,3,27
5.0,3.8,4.6,1,18
4.4,3.4,2.8,3,29
5.2,3.8,2.4,4,50
5.4,4.8,2.0,3,50
5.2,5.0,2.2,3,20
4.4,3.4,3.4,3,19
5.2,4.8,1.6,4,56
4.8,3.6,3.4,4,29
4.6,3.6,4.2,5,29
5.4,5.4,3.6,5,48
5.0,3.8,4.0,1,30
3.6,2.2,5.0,2,21
2.2,1.0,4.0,3,19
5.2,3.6,1.2,5,42
3.8,3.0,5.4,3,18
4.0,3.2,1.4,4,50
4.6,4.0,4.75,3,24
3.6,4.2,3.2,5,25
4.4,3.6,4.6,5,47
4.6,2.4,2.0,1,18
3.6,1.4,4.8,4,37
5.8,4.0,4.0,4,33
4.6,3.6,4.25,5,40
1.2,4.4,4.4,NA,18
5.4,4.8,4.6,3,21
5.0,4.8,5.6,3,27
6.0,4.4,2.8,3,19
4.75,3.0,2.0,4,36
5.4,4.2,1.4,3,19
6.0,3.2,4.4,5,29
5.2,5.8,2.0,5,23
2.0,1.8,2.8,5,23
4.4,4.8,2.0,3,20
1.8,1.6,2.8,4,24
4.2,5.0,3.2,5,24
5.8,5.6,2.2,5,26
5.0,5.6,3.0,3,25
4.4,2.0,4.0,4,24
3.6,5.4,3.4,5,24
4.4,5.0,3.0,5,28
4.8,3.4,2.2,4,22
4.4,2.2,3.4,5,26
5.4,4.8,2.8,5,25
4.6,4.6,2.8,4,23
4.0,2.6,3.2,3,22
3.75,4.2,4.6,3,19
4.2,4.4,4.2,4,25
4.4,4.4,5.0,3,25
3.0,2.5,3.4,5,27
3.6,3.4,4.6,3,20
6.0,4.0,5.4,3,25
5.8,4.0,3.8,3,49
5.6,6.0,2.75,3,26
5.6,5.0,3.0,3,25
5.6,5.2,4.4,3,25
5.2,6.0,3.6,NA,18
2.6,1.4,4.4,3,21
4.8,5.2,5.2,3,22
3.8,5.0,4.2,3,37
5.8,4.4,1.8,3,20
4.2,4.4,2.4,1,22
4.0,2.8,2.0,5,41
5.4,5.0,4.6,5,22
4.8,4.0,3.2,5,24
4.2,5.2,1.0,4,23
5.4,3.8,3.4,4,32
4.4,3.6,4.0,5,43
5.8,5.2,1.8,4,30
5.2,4.2,2.2,2,50
3.0,5.6,2.4,1,18
4.8,3.8,2.0,3,16
5.0,5.0,3.6,5,34
5.8,5.4,2.2,2,18
4.8,3.4,4.0,5,24
3.4,3.4,2.4,2,18
4.6,3.8,4.2,3,22
5.4,4.0,2.5,2,36
5.0,4.6,3.2,3,19
4.8,4.4,3.0,3,20
4.0,3.0,1.8,3,24
6.0,5.0,3.0,3,20
4.8,4.6,1.4,5,34
5.0,5.8,1.4,3,21
4.8,4.25,3.0,3,19
5.2,4.8,4.0,2,18
4.4,1.8,5.8,NA,25
3.8,3.8,3.4,5,27
4.4,5.0,3.8,5,33
5.2,5.0,3.2,3,20
5.0,4.2,2.4,3,19
5.6,5.4,2.0,NA,16
3.4,3.0,5.0,3,18
5.8,3.8,2.0,4,35
4.6,3.0,4.2,3,23
3.4,3.8,3.6,5,27
3.0,4.8,1.6,3,18
3.2,3.0,4.6,2,31
5.8,4.4,1.8,NA,17
4.2,2.8,2.4,1,53
2.6,2.8,4.4,5,29
3.6,3.2,4.2,2,19
5.2,4.4,5.2,1,29
5.0,4.6,1.4,5,41
3.4,5.4,1.4,5,31
4.6,3.0,4.8,3,45
5.0,5.6,4.4,2,47
4.0,3.6,2.4,4,27
5.0,4.4,4.4,2,24
4.0,3.4,3.0,4,20
3.6,4.6,2.4,2,23
4.6,3.4,3.8,5,28
5.2,2.0,5.0,NA,16
4.8,5.6,2.8,1,18
5.0,3.2,2.8,NA,16
5.2,5.4,1.2,NA,17
5.2,4.6,2.2,1,18
5.0,4.2,2.4,NA,16
3.4,2.6,4.4,NA,16
4.4,4.2,3.6,1,18
5.0,5.2,1.2,NA,17
5.4,4.4,2.0,NA,17
4.6,3.8,2.6,NA,16
5.0,3.2,3.4,1,18
5.5,3.0,1.0,5,50
5.4,5.4,3.2,4,25
3.0,3.8,2.0,5,48
5.0,5.0,1.8,4,27
5.8,4.6,4.5,3,22
3.8,3.6,1.8,3,20
3.4,2.4,5.4,NA,17
5.6,4.5,1.6,5,59
3.6,3.2,3.0,1,17
6.0,5.8,2.8,3,32
4.0,5.2,3.8,3,22
4.0,4.8,2.6,3,21
2.2,2.8,3.0,5,29
4.8,4.4,3.6,1,18
5.5,2.8,2.0,3,40
5.6,5.4,1.2,5,48
5.4,4.6,2.4,4,39
5.6,5.2,3.0,4,50
5.6,4.0,4.0,5,26
4.2,3.4,3.2,2,21
3.8,3.4,2.8,4,55
5.4,4.8,1.8,5,37
5.4,4.8,2.0,5,38
4.2,4.4,2.0,3,19
4.6,3.0,2.6,NA,17
3.8,4.8,2.4,3,20
4.0,2.6,2.6,5,34
5.4,5.4,2.0,3,38
4.4,4.4,4.4,3,18
5.25,4.0,3.0,5,32
5.8,4.4,3.0,3,19
4.2,2.8,1.8,3,19
5.2,5.0,3.0,3,21
5.5,5.4,3.0,3,22
4.4,2.6,1.0,3,19
4.6,4.8,1.8,5,41
5.6,4.6,1.4,3,40
3.4,4.4,3.2,5,44
4.8,4.0,3.0,3,25
1.6,3.0,4.2,NA,15
3.6,4.0,2.2,3,24
2.8,4.4,2.0,3,23
4.6,5.0,2.4,1,22
5.2,4.0,1.8,3,19
4.6,3.2,3.2,3,23
2.6,5.8,1.0,3,38
5.2,5.0,1.4,2,26
4.8,5.0,2.0,3,46
4.0,3.6,2.6,2,24
4.8,5.2,2.2,1,18
5.6,3.4,3.2,2,48
5.8,4.8,3.8,3,30
4.4,4.0,2.8,2,22
