agreeableness,extraversion,neuroticism,education,age
5.6,4.0,2.0,5,68
4.0,4.0,3.2,5,51
5.6,5.0,2.4,3,41
4.6,4.6,1.4,5,48
3.8,3.4,4.6,1,43
5.0,2.8,3.8,2,50
5.4,2.8,2.4,2,48
5.2,5.4,2.4,4,43
3.2,3.6,2.8,3,54
5.2,3.8,2.4,4,50
5.4,4.8,2.0,3,50
5.2,4.8,1.6,4,56
5.4,5.4,3.6,5,48
5.2,3.6,1.2,5,42
4.0,3.2,1.4,4,50
4.4,3.6,4.6,5,47
5.8,4.0,3.8,3,49
4.0,2.8,2.0,5,41
4.4,3.6,4.0,5,43
5.2,4.2,2.2,2,50
4.2,2.8,2.4,1,53
5.0,4.6,1.4,5,41
4.6,3.0,4.8,3,45
5.0,5.6,4.4,2,47
5.5,3.0,1.0,5,50
3.0,3.8,2.0,5,48
5.6,4.5,1.6,5,59
5.6,5.4,1.2,5,48
5.6,5.2,3.0,4,50
3.8,3.4,2.8,4,55
4.6,4.8,1.8,5,41
3.4,4.4,3.2,5,44
4.8,5.0,2.0,3,46
5.6,3.4,3.2,2,48
5.2,4.6,1.8,3,55
4.4,5.8,4.6,3,50
5.4,4.6,3.8,4,47
5.0,3.4,1.4,4,52
5.6,3.8,4.0,2,56
5.0,4.6,3.0,NA,56
5.2,6.0,5.8,4,45
4.0,3.4,3.0,5,44
3.0,3.6,5.4,4,45
3.8,3.4,5.6,2,48
6.0,5.2,2.0,1,51
5.0,2.8,4.2,2,50
5.2,5.0,4.25,4,52
4.8,5.6,2.6,5,53
4.8,5.6,4.6,5,64
4.0,4.0,3.0,2,49
5.2,6.0,3.8,2,45
4.6,3.4,3.6,5,42
5.8,5.4,1.0,3,42
5.0,4.8,3.6,2,53
5.0,3.2,2.4,3,51
5.4,4.2,1.25,1,59
3.6,1.8,2.6,3,48
5.8,2.4,3.8,3,52
5.8,5.8,1.4,2,51
5.2,2.6,2.2,4,48
5.0,3.0,5.0,5,59
4.4,4.0,3.0,4,41
4.8,5.2,4.6,5,60
5.6,1.8,4.2,3,52
5.8,3.6,2.6,3,52
6.0,6.0,4.2,3,55
5.0,5.6,1.4,3,51
4.8,4.0,4.2,2,42
5.4,3.2,2.4,3,46
4.6,5.6,3.0,4,50
4.8,3.2,3.0,3,46
5.6,4.4,4.4,3,53
4.4,5.2,4.0,2,51
5.0,4.8,3.6,2,42
4.0,5.4,1.0,3,45
4.4,4.8,1.6,3,43
5.4,4.2,4.4,3,51
4.8,4.6,3.0,4,45
5.6,5.8,1.2,2,60
5.4,4.2,6.0,2,51
4.0,2.4,3.0,2,55
5.4,4.4,3.0,3,43
4.8,4.4,2.4,3,60
3.2,2.8,5.2,4,42
6.0,5.6,1.8,3,44
5.8,5.0,2.6,3,47
4.8,4.2,1.6,3,44
4.2,3.8,3.8,3,41
5.4,3.8,2.2,3,44
5.4,5.6,1.0,3,46
5.4,5.2,1.6,3,42
5.0,4.8,3.4,NA,45
6.0,3.8,2.0,3,43
6.0,4.2,4.0,3,55
6.0,4.2,4.0,3,55
6.0,6.0,1.2,3,54
4.8,3.0,3.8,1,53
5.4,4.0,1.8,3,52
5.6,4.0,4.0,3,46
4.0,3.0,5.4,2,41
4.2,5.0,1.0,3,52
5.0,4.6,2.4,2,50
3.8,3.8,3.8,3,43
3.2,2.4,4.2,5,50
5.0,3.4,2.2,3,48
4.8,3.0,2.0,3,43
6.0,3.6,2.0,3,41
4.8,4.8,2.0,3,50
4.6,2.2,3.2,2,51
4.4,4.4,2.8,4,44
6.0,5.0,5.6,3,52
5.8,5.8,1.0,3,43
4.0,3.0,5.2,2,41
6.0,4.6,1.6,3,41
5.4,2.6,5.2,4,45
4.8,5.2,2.4,3,43
